Bib ID,Tipo,Autor,Año,Título,Revista o editorial,Volumen,Número,Páginas,Ciudad,DOI,URL,ISBN,ISSN,Cobertura geográfica,Temas,Idioma,Estado de verificación,Notas,Cita sugerida
BIB-A-0387,Artículo,"Rueda, Soledad de",1949,Folclor de la costa del Pacífico en Barbacoas,Revista de historia,4,23 - 25,247-259,,,,,,,,,No verificado externamente,,"Rueda, Soledad de. (1949). Folclor de la costa del Pacífico en Barbacoas. Revista de historia."
BIB-A-0388,Artículo,"Sánchez Montenegro, Víctor",1949,Panorama folklórico de Nariño,Revista de Folklore,,4,47-75,,,,,,,,,No verificado externamente,,"Sánchez Montenegro, Víctor. (1949). Panorama folklórico de Nariño. Revista de Folklore."
BIB-A-0389,Artículo,"Sierra, Antonio",1949,Frases del Quijote en el lenguaje antioqueño,Revista Universidad de Antioquia,,23,117-147,,,,,,,,,No verificado externamente,,"Sierra, Antonio. (1949). Frases del Quijote en el lenguaje antioqueño. Revista Universidad de Antioquia."
BIB-A-0390,Artículo,"Zamudio, Daniel",1949,El folclor musical de Colombia,Revista de las Indias,,109,,,,,,,,,,No verificado externamente,,"Zamudio, Daniel. (1949). El folclor musical de Colombia. Revista de las Indias."
BIB-A-0391,Artículo,Anónimo,1950,Coplero nacional,Santanderes,,1,39-,,,,,,,,,No verificado externamente,,Anónimo. (1950). Coplero nacional. Santanderes.
BIB-A-0392,Artículo,"Arcila, Graciliano",1950,"Investigaciones etnológicas en Draba, San Andres de Cuer quia, Ituango Peque",Revista Universidad de Antioquia,,97-98,11-36,,,,,,,,,No verificado externamente,,"Arcila, Graciliano. (1950). Investigaciones etnológicas en Draba, San Andres de Cuer quia, Ituango Peque. Revista Universidad de Antioquia."
BIB-A-0393,Artículo,"Bañares, Jesualdo de",1950,Motilones,Ediciones Guajiro Capuchinas,,3,5-74,,,,,,,,,No verificado externamente,,"Bañares, Jesualdo de. (1950). Motilones. Ediciones Guajiro Capuchinas."
BIB-A-0394,Artículo,"Casas, Roque",1950,La copla tolimense,Boletín de Historia y Antiguedades,37,423 - 425,55-60,,,,,,,,,No verificado externamente,,"Casas, Roque. (1950). La copla tolimense. Boletín de Historia y Antiguedades."
BIB-A-0395,Artículo,"Castillejo, Roberto",1950,Ensayo sobre el desarrollo de la vivienda en los departamentos de la Costa Atlántica,Divulgaciones Etnológicas,1,1,16-62,,,,,,,,,No verificado externamente,,"Castillejo, Roberto. (1950). Ensayo sobre el desarrollo de la vivienda en los departamentos de la Costa Atlántica. Divulgaciones Etnológicas."
BIB-A-0396,Artículo,"Flórez, Luis",1950,El habla del Chocó,Boletín del Instituto Caro y Cuervo,6,1,110-116,,,,,,,,,No verificado externamente,,"Flórez, Luis. (1950). El habla del Chocó. Boletín del Instituto Caro y Cuervo."
BIB-A-0397,Artículo,"Flórez, Luis",1950,El habla del Chocó,Thesaurus,,6,110-116,,,,,,,,,No verificado externamente,,"Flórez, Luis. (1950). El habla del Chocó. Thesaurus."
BIB-A-0398,Artículo,"Gutiérrez, Benigno",1950,Los mitos montañeses,Revista Universidad de Antioquia,25,100,,,,,,,,,,No verificado externamente,,"Gutiérrez, Benigno. (1950). Los mitos montañeses. Revista Universidad de Antioquia."
BIB-A-0399,Artículo,"Holder, P.",1950,Zur Ethnologie der Motilones Indianer in der Sierra de Perijá,Atlantis,12,111,129-,,,,,,,,,No verificado externamente,,"Holder, P.. (1950). Zur Ethnologie der Motilones Indianer in der Sierra de Perijá. Atlantis."
BIB-A-0400,Artículo,"Ortíz, Sergio Elías y Laurencio",1950,Folclor: Otros cantares de Ricaurte,Revista de historia,5,26 - 27,53-57,,,,,,,,,No verificado externamente,,"Ortíz, Sergio Elías y Laurencio. (1950). Folclor: Otros cantares de Ricaurte. Revista de historia."
BIB-A-0401,Artículo,"Otero D'Costa, Enrique",1950,Mestizajes del castellano en Colombia,Boletín del Instituto Caro y Cuervo,6,1,18-80,,,,,,,,,No verificado externamente,,"Otero D'Costa, Enrique. (1950). Mestizajes del castellano en Colombia. Boletín del Instituto Caro y Cuervo."
BIB-A-0402,Artículo,"Restrepo, Alonso",1950,Apuntes sobre danzas macabras,Revista Universidad de Antioquia,,96,473-496,,,,,,,,,No verificado externamente,,"Restrepo, Alonso. (1950). Apuntes sobre danzas macabras. Revista Universidad de Antioquia."
BIB-A-0403,Artículo,"Restrepo, Alonso",1950,Apuntes sobre danzas macabras,Revista Universidad de Antioquia,473,96,496-,,,,,,,,,No verificado externamente,,"Restrepo, Alonso. (1950). Apuntes sobre danzas macabras. Revista Universidad de Antioquia."
BIB-A-0404,Artículo,"Rivas Putnam, Ignacio",1950,Del folclor tolimense,Boletín de Historia y antigüedades,,37,331-337,,,,,,,,,No verificado externamente,,"Rivas Putnam, Ignacio. (1950). Del folclor tolimense. Boletín de Historia y antigüedades."
BIB-A-0405,Artículo,"Rivet, Paul y Armelladav, Cesáreo",1950,Les indiens Motilones,Journal de la Société des Américanistes,,39,15-57,,,,,,,,,No verificado externamente,,"Rivet, Paul y Armelladav, Cesáreo. (1950). Les indiens Motilones. Journal de la Société des Américanistes."
BIB-A-0406,Artículo,"Rowe, John Howland",1950,"The Idabaez, unknown indians of the Chocó coast",Kroeber Anthropogical Society Papers,,1,34-44,,,,,,,,,No verificado externamente,,"Rowe, John Howland. (1950). The Idabaez, unknown indians of the Chocó coast. Kroeber Anthropogical Society Papers."
BIB-A-0407,Artículo,"Serrano, Manuel",1950,Un hallazgo indigenista: Las canciones de los indios Kofanes,Revista de Santander,,10,75-88,,,,,,,,,No verificado externamente,,"Serrano, Manuel. (1950). Un hallazgo indigenista: Las canciones de los indios Kofanes. Revista de Santander."
BIB-A-0408,Artículo,"Vengoechea, R.",1950,Lo popular en el Carnaval de Barranquilla,Divulgaciones Etnológicas,1,2,87-105,,,,,,,,,No verificado externamente,,"Vengoechea, R.. (1950). Lo popular en el Carnaval de Barranquilla. Divulgaciones Etnológicas."
BIB-A-0409,Artículo,"Venturello, B.",1950,El baile funerario en las tribus motilonas,Revista Geográfica Americana,33,261 - 264,,,,,,,,,,No verificado externamente,,"Venturello, B.. (1950). El baile funerario en las tribus motilonas. Revista Geográfica Americana."
BIB-A-0410,Artículo,"Wagner, Max Leopold",1950,Apuntaciones sobre el caló bogotano,Thesaurus,,6,181-213,,,,,,,,,No verificado externamente,,"Wagner, Max Leopold. (1950). Apuntaciones sobre el caló bogotano. Thesaurus."
BIB-A-0411,Artículo,"Acuña, Luis Alberto",1951,Diccionario de Bogotanismos,Revista de Folclor,3,7,5-187,,,,,,,,,No verificado externamente,,"Acuña, Luis Alberto. (1951). Diccionario de Bogotanismos. Revista de Folclor."
BIB-A-0412,Artículo,Anónimo,1951,Quién es quién en el folklore colombiano,Revista de Folklore,1,6,331-333,,,,,,,,,No verificado externamente,,Anónimo. (1951). Quién es quién en el folklore colombiano. Revista de Folklore.
BIB-A-0413,Artículo,"Arcila, Graciliano",1951,Notículas sobre folclor en el Bajo Cauca,Revista Universidad de Antioquia,,101,177-179,,,,,,,,,No verificado externamente,,"Arcila, Graciliano. (1951). Notículas sobre folclor en el Bajo Cauca. Revista Universidad de Antioquia."
BIB-A-0414,Artículo,"Arcila, Graciliano",1951,Aspectos etnológicos del Bajo Cauca,Revista Universidad de Antioquia,,102,367-380,,,,,,,,,No verificado externamente,,"Arcila, Graciliano. (1951). Aspectos etnológicos del Bajo Cauca. Revista Universidad de Antioquia."
BIB-A-0415,Artículo,"Arcila, Graciliano",1951,Informe sobre las investigaciones etnológicas en el Bajo Cauca verificadas por el Servicio Etnológico de la Universidad de Antioquia,Boletín del Instituto Marco Fidel Suárez,,2,251-272,,,,,,,,,No verificado externamente,,"Arcila, Graciliano. (1951). Informe sobre las investigaciones etnológicas en el Bajo Cauca verificadas por el Servicio Etnológico de la Universidad de Antioquia. Boletín del Instituto Marco Fidel Suárez."
BIB-A-0416,Artículo,"Arciniegas, Germán",1951,Los caballitos de Ráquira,Dominical,,149,18-33,,,,,,,,,No verificado externamente,,"Arciniegas, Germán. (1951). Los caballitos de Ráquira. Dominical."
BIB-A-0417,Artículo,"Arias, Juan de Dios",1951,Las fiestas del fique en Mogotes,El Siglo,,,,,,,,,,,,No verificado externamente,,"Arias, Juan de Dios. (1951). Las fiestas del fique en Mogotes. El Siglo."
BIB-A-0418,Artículo,"Florez, Luis",1951,"Medicina, magia y animismo en Segovia de Antioquia",Revista de Folclor,,6,185-236,,,,,,,,,No verificado externamente,,"Florez, Luis. (1951). Medicina, magia y animismo en Segovia de Antioquia. Revista de Folclor."
BIB-A-0419,Artículo,"Flórez, Luis",1951,El español hablado en Segovia y Remedios,Thesaurus,,7,18-110,,,,,,,,,No verificado externamente,,"Flórez, Luis. (1951). El español hablado en Segovia y Remedios. Thesaurus."
BIB-A-0420,Artículo,"Flórez, Luis",1951,El Atlas lingüístico-etnográfico de Colombia (ALEC): Nota informativa,Boletín del Instituto Caro y Cuervo,,16,77-125,,,,,,,,,No verificado externamente,,"Flórez, Luis. (1951). El Atlas lingüístico-etnográfico de Colombia (ALEC): Nota informativa. Boletín del Instituto Caro y Cuervo."
BIB-A-0421,Artículo,"Flórez, Luis",1951,"Medicina, magia y animismo en Segovia de Antioquia",Revista de Folklore,,6,185-286,,,,,,,,,No verificado externamente,,"Flórez, Luis. (1951). Medicina, magia y animismo en Segovia de Antioquia. Revista de Folklore."
BIB-A-0422,Artículo,"García, Abel",1951,"De toponimia, de etnología y de historia",Boletín del Instituto Marco Fidel Suárez,,1,117-118,,,,,,,,,No verificado externamente,,"García, Abel. (1951). De toponimia, de etnología y de historia. Boletín del Instituto Marco Fidel Suárez."
BIB-A-0423,Artículo,"García, Julio César",1951,Otros refranes y modismos colombianos,Revista de Folclor,,6,241-247,,,,,,,,,No verificado externamente,,"García, Julio César. (1951). Otros refranes y modismos colombianos. Revista de Folclor."
BIB-A-0424,Artículo,"Henriquez, Demetrio",1951,Tradiciones y leyendas,Repertorio Boyacense,,161 - 162,2377-2379,,,,,,,,,No verificado externamente,,"Henriquez, Demetrio. (1951). Tradiciones y leyendas. Repertorio Boyacense."
BIB-A-0425,Artículo,"Henriquez, Demetrio",1951,Tradiciones y leyendas,Repertorio Boyacense,,261 - 262,2380-2382,,,,,,,,,No verificado externamente,,"Henriquez, Demetrio. (1951). Tradiciones y leyendas. Repertorio Boyacense."
BIB-A-0426,Artículo,"Holmer, Nils",1951,Cuna Chrestomathy,Etnologiska Studier,,18,,,,,,,,,,No verificado externamente,,"Holmer, Nils. (1951). Cuna Chrestomathy. Etnologiska Studier."
BIB-A-0427,Artículo,"Holmer, Nils",1951,Cuna Chrestomathy,Ethnologiska studier,,18,,,,,,,,,,No verificado externamente,,"Holmer, Nils. (1951). Cuna Chrestomathy. Ethnologiska studier."
BIB-A-0428,Artículo,"León Rey, José Antonio",1951,El Guayabo,Boletín de la Academia Colombiana,,5,153-155,,,,,,,,,No verificado externamente,,"León Rey, José Antonio. (1951). El Guayabo. Boletín de la Academia Colombiana."
BIB-A-0429,Artículo,"Mantilla, Rito",1951,Música y músicos de los Santanderes,Santanderes,,9 - 10,23-39,,,,,,,,,No verificado externamente,,"Mantilla, Rito. (1951). Música y músicos de los Santanderes. Santanderes."
BIB-A-0430,Artículo,"Mesa Bernal, Daniel",1951,"La pucha, una medida universal en Antioquia",Agricultura Tropical,7,4,59-61,,,,,,,,,No verificado externamente,,"Mesa Bernal, Daniel. (1951). La pucha, una medida universal en Antioquia. Agricultura Tropical."
BIB-A-0431,Artículo,"Molina, Hernando",1951,El refrán y el modismo en el habla popular de la montaña antioqueña,Revista de Folclor,,6,305-329,,,,,,,,,No verificado externamente,,"Molina, Hernando. (1951). El refrán y el modismo en el habla popular de la montaña antioqueña. Revista de Folclor."
BIB-A-0432,Artículo,"Ortega Ricaurte, Daniel",1951,Folklore indígena,Revista de Folklore,,6,177-184,,,,,,,,,No verificado externamente,,"Ortega Ricaurte, Daniel. (1951). Folklore indígena. Revista de Folklore."
BIB-A-0433,Artículo,"Otálora de Corsi, Rosa",1951,Datos folclóricos sobre la muerte y el entierro entre nuestros campesino,Repertorio Boyacense,,161 - 162,2398-2406,,,,,,,,,No verificado externamente,,"Otálora de Corsi, Rosa. (1951). Datos folclóricos sobre la muerte y el entierro entre nuestros campesino. Repertorio Boyacense."
BIB-A-0434,Artículo,"Perdomo, José Ignacio",1951,Folclor musical,Hojas de cultura popular colombiana,,8,,,,,,,,,,No verificado externamente,,"Perdomo, José Ignacio. (1951). Folclor musical. Hojas de cultura popular colombiana."
BIB-A-0435,Artículo,"Perdomo, José Ignacio",1951,El villancico en Colombia,Hojas de cultura popular colombiana,,12,,,,,,,,,,No verificado externamente,,"Perdomo, José Ignacio. (1951). El villancico en Colombia. Hojas de cultura popular colombiana."
BIB-A-0436,Artículo,"Quijano Mantilla, Joaquín",1951,Semana Santa en Piedecuesta,El Dominical,,159,13-25,,,,,,,,,No verificado externamente,,"Quijano Mantilla, Joaquín. (1951). Semana Santa en Piedecuesta. El Dominical."
BIB-A-0437,Artículo,"Reichel-Dolmatoff, Gerardo",1951,Notas sobre la alfarería del Bajo Magdalena,Revista de Folklore,,6,169-176,,,,,,,,,No verificado externamente,,"Reichel-Dolmatoff, Gerardo. (1951). Notas sobre la alfarería del Bajo Magdalena. Revista de Folklore."
BIB-A-0438,Artículo,"Reichel-Dolmatoff, Gerardo",1951,Conceptos biológicos de los indios Kogis de la Sierra Nevada de Santa Marta,Anales de la Sociedad de Biología de Bogotá,,4,212-218,,,,,,,,,No verificado externamente,,"Reichel-Dolmatoff, Gerardo. (1951). Conceptos biológicos de los indios Kogis de la Sierra Nevada de Santa Marta. Anales de la Sociedad de Biología de Bogotá."
BIB-A-0439,Artículo,"Reichel-Dolmatoff, Gerardo",1951,Conceptos biológicos de los indios Kogi de la Sierra Nevada de Santa Marta,Anales de la Sociedad de Bología de Bogotá,4,6,212-218,,,,,,,,,No verificado externamente,,"Reichel-Dolmatoff, Gerardo. (1951). Conceptos biológicos de los indios Kogi de la Sierra Nevada de Santa Marta. Anales de la Sociedad de Bología de Bogotá."
BIB-A-0440,Artículo,"Rivas, Ignacio",1951,Una página del folklore tolimense,Revista de Folklore,,6,249-254,,,,,,,,,No verificado externamente,,"Rivas, Ignacio. (1951). Una página del folklore tolimense. Revista de Folklore."
BIB-A-0441,Artículo,"Samper, Darío",1951,Coplas en el Valle de Tenza,Bolívar,,3,479-487,,,,,,,,,No verificado externamente,,"Samper, Darío. (1951). Coplas en el Valle de Tenza. Bolívar."
BIB-A-0442,Artículo,"Samper, Darío",1951,Copla y guabina santandereana,Bolívar,,5,965-974,,,,,,,,,No verificado externamente,,"Samper, Darío. (1951). Copla y guabina santandereana. Bolívar."
BIB-A-0443,Artículo,"Samper, Darío",1951,Copla y guabina santandereanas,Bolívar,,5,965-974,,,,,,,,,No verificado externamente,,"Samper, Darío. (1951). Copla y guabina santandereanas. Bolívar."
BIB-A-0444,Artículo,"Tanner, Hans",1951,Etnologische Beobachtungen in der Guajira Halbinsel,Geographica Helvetica,,6,251-259,,,,,,,,,No verificado externamente,,"Tanner, Hans. (1951). Etnologische Beobachtungen in der Guajira Halbinsel. Geographica Helvetica."
BIB-A-0445,Artículo,"Vargas Tamayo, José",1951,Yo vide al moján,Revista de Folclor,,6,237-239,,,,,,,,,No verificado externamente,,"Vargas Tamayo, José. (1951). Yo vide al moján. Revista de Folclor."
BIB-A-0446,Artículo,"Yepes, Silvio",1951,Adivinanzas con plantas en la hoya del Cauca,Revista de Folklore,,6,255-287,,,,,,,,,No verificado externamente,,"Yepes, Silvio. (1951). Adivinanzas con plantas en la hoya del Cauca. Revista de Folklore."
BIB-A-0447,Artículo,"Yepez, Silvio",1951,Adivinanzas con plantas en la hoya del Cauca,Revista de Folclor,,6,255-287,,,,,,,,,No verificado externamente,,"Yepez, Silvio. (1951). Adivinanzas con plantas en la hoya del Cauca. Revista de Folclor."
BIB-A-0448,Artículo,"Abadía, Guillermo",1952,Glosas para tres danzas típicas colombianas,Arte,,1,21-25,,,,,,,,,No verificado externamente,,"Abadía, Guillermo. (1952). Glosas para tres danzas típicas colombianas. Arte."
BIB-A-0449,Artículo,Anónimo,1952,Los Coreguajes,Territorios nacionales,2,3,20-23,,,,,,,,,No verificado externamente,,Anónimo. (1952). Los Coreguajes. Territorios nacionales.
BIB-A-0450,Artículo,Anónimo,1952,Los Guahibos,Aulas,1,4,,,,,,,,,,No verificado externamente,,Anónimo. (1952). Los Guahibos. Aulas.
BIB-A-0451,Artículo,Anónimo,1952,Los huítotos,Territorios nacionales,2,4,12-13,,,,,,,,,No verificado externamente,,Anónimo. (1952). Los huítotos. Territorios nacionales.
BIB-A-0452,Artículo,"Arboleda Llorente, José Ma",1952,La Semana Santa y las procesiones de Popayán,Bolívar,,8,461-473,,,,,,,,,No verificado externamente,,"Arboleda Llorente, José Ma. (1952). La Semana Santa y las procesiones de Popayán. Bolívar."
BIB-A-0453,Artículo,"Arias, Juan de Dios",1952,Juegos infantiles,Revista Colombiana de Folclor,,1,111-127,,,,,,,,,No verificado externamente,,"Arias, Juan de Dios. (1952). Juegos infantiles. Revista Colombiana de Folclor."
BIB-A-0454,Artículo,"Bernal Villa, Segundo",1952,"Aspectos de la cultura Paez. Mitología y cuentos de la parcialidad de Calderas, Tierradentro",Revista Colombiana de Antropología,1,1,281-309,,,,,,,,,No verificado externamente,,"Bernal Villa, Segundo. (1952). Aspectos de la cultura Paez. Mitología y cuentos de la parcialidad de Calderas, Tierradentro. Revista Colombiana de Antropología."
BIB-A-0455,Artículo,"Brugés, Antonio",1952,Las danzas de Nochebuena,Hojas de cultura popular colombiana,,24,,,,,,,,,,No verificado externamente,,"Brugés, Antonio. (1952). Las danzas de Nochebuena. Hojas de cultura popular colombiana."
BIB-A-0456,Artículo,"Bustamante, José Ignacio",1952,La fiesta de los Reyes Negros en Popayán,Hojas de Cultura Popular Coombiana,,24,,,,,,,,,,No verificado externamente,,"Bustamante, José Ignacio. (1952). La fiesta de los Reyes Negros en Popayán. Hojas de Cultura Popular Coombiana."
BIB-A-0457,Artículo,"Bustamante, José Ignacio",1952,La fiesta de los Reyes Negros en Popayán,Hojas de cultura popular colombiana,,24,,,,,,,,,,No verificado externamente,,"Bustamante, José Ignacio. (1952). La fiesta de los Reyes Negros en Popayán. Hojas de cultura popular colombiana."
BIB-A-0458,Artículo,"Cadavid Uribe, Gonzalo",1952,Oyendo conversar al pueblo,Revista Universidad de Antioquia,,105,113-126,,,,,,,,,No verificado externamente,,"Cadavid Uribe, Gonzalo. (1952). Oyendo conversar al pueblo. Revista Universidad de Antioquia."
BIB-A-0459,Artículo,"Cadavid Uribe, Gonzalo",1952,Oyendo conversar al pueblo,Revista Universidad de Antioquia,,106 - 107,317-330,,,,,,,,,No verificado externamente,,"Cadavid Uribe, Gonzalo. (1952). Oyendo conversar al pueblo. Revista Universidad de Antioquia."
BIB-A-0460,Artículo,"Cadavid Uribe, Gonzalo",1952,Oyendo conversar al pueblo,Revista Universidad de Antioquia,,108,515-522,,,,,,,,,No verificado externamente,,"Cadavid Uribe, Gonzalo. (1952). Oyendo conversar al pueblo. Revista Universidad de Antioquia."
BIB-A-0461,Artículo,"Correa, Ramón",1952,Provincialismos,Repertorio Boyacense,,165 - 166,2599-2606,,,,,,,,,No verificado externamente,,"Correa, Ramón. (1952). Provincialismos. Repertorio Boyacense."
BIB-A-0462,Artículo,"Flórez, Luis",1952,El provincialismo en la literatura colombiana,Educación,,4,357-378,,,,,,,,,No verificado externamente,,"Flórez, Luis. (1952). El provincialismo en la literatura colombiana. Educación."
BIB-A-0463,Artículo,"Friede, Juan",1952,Los Kofán una tribu de la Alta Amazonía Colombiana,International Congress of Americanists,,,202-219,,,,,,,,,No verificado externamente,,"Friede, Juan. (1952). Los Kofán una tribu de la Alta Amazonía Colombiana. International Congress of Americanists."
BIB-A-0464,Artículo,"Ginés, Hermano y Matos, Felipe",1952,Apuntes etnobotánicos de Perijá,Memorias de la Sociedad de Ciencias Naturales La Salle,13,36,287-290,,,,,,,,,No verificado externamente,,"Ginés, Hermano y Matos, Felipe. (1952). Apuntes etnobotánicos de Perijá. Memorias de la Sociedad de Ciencias Naturales La Salle."
BIB-A-0465,Artículo,"Gutiérrez González, Gregorio",1952,Memoria sobre el cultivo del maíz en Antioquia,Hojas de Cultura Popular Colombiana,,14,,,,,,,,,,No verificado externamente,,"Gutiérrez González, Gregorio. (1952). Memoria sobre el cultivo del maíz en Antioquia. Hojas de Cultura Popular Colombiana."
BIB-A-0466,Artículo,"Holmer, Nils",1952,"Inatoipipiler or the adventures of three Cuna boys, according to Meninibigdinapi",Ethnologiska studier,,20,,,,,,,,,,No verificado externamente,,"Holmer, Nils. (1952). Inatoipipiler or the adventures of three Cuna boys, according to Meninibigdinapi. Ethnologiska studier."
BIB-A-0467,Artículo,"López Narváez, Carlos",1952,La copla en el Cauca,Revista Colombiana de Folclor,,1,213-219,,,,,,,,,No verificado externamente,,"López Narváez, Carlos. (1952). La copla en el Cauca. Revista Colombiana de Folclor."
BIB-A-0468,Artículo,"Malaret, Augusto",1952,Correciones al Diccionario de Americanismos y al lexicón de fauna y flora,Universidad Pontificia Bolivariana,,63-64,312-352,,,,,,,,,No verificado externamente,,"Malaret, Augusto. (1952). Correciones al Diccionario de Americanismos y al lexicón de fauna y flora. Universidad Pontificia Bolivariana."
BIB-A-0469,Artículo,"Malaret, Augusto",1952,Correciones al Diccionario de Americanismos y al lexicón de fauna y flora,Universidad Pontificia Bolivariana,,65,470-527,,,,,,,,,No verificado externamente,,"Malaret, Augusto. (1952). Correciones al Diccionario de Americanismos y al lexicón de fauna y flora. Universidad Pontificia Bolivariana."
BIB-A-0470,Artículo,"Malaret, Augusto",1952,Correcciones al Diccionario de Americanismos y al Lexicón de Fauna y Flora,Universidad Pontificia Bolivariana,,63 - 64,312-352,,,,,,,,,No verificado externamente,,"Malaret, Augusto. (1952). Correcciones al Diccionario de Americanismos y al Lexicón de Fauna y Flora. Universidad Pontificia Bolivariana."
BIB-A-0471,Artículo,"Malaret, Augusto",1952,Correcciones al Diccionario de Americanismos y al Lexicón de Fauna y Flora,Universidad Pontificia Bolivariana,,65,470-527,,,,,,,,,No verificado externamente,,"Malaret, Augusto. (1952). Correcciones al Diccionario de Americanismos y al Lexicón de Fauna y Flora. Universidad Pontificia Bolivariana."
BIB-A-0472,Artículo,"Nimuendaju, Curt",1952,The Tukana,American Archaeology and Ethnology,,45,,,,,,,,,,No verificado externamente,,"Nimuendaju, Curt. (1952). The Tukana. American Archaeology and Ethnology."
BIB-A-0473,Artículo,"Perez Arbeláez, Enrique",1952,La Cuna del Porro. Insinuación folclórica del Departamento del Magdalena,Revista Colombiana de Folclor,,1,18-101,,,,,,,,,No verificado externamente,,"Perez Arbeláez, Enrique. (1952). La Cuna del Porro. Insinuación folclórica del Departamento del Magdalena. Revista Colombiana de Folclor."
BIB-A-0474,Artículo,"Sánchez Arévalo, Francisco",1952,Notas sobre el lenguaje de Río de Oro,Boletín del Instituto Caro y Cuervo,6,2,214-252,,,,,,,,,No verificado externamente,,"Sánchez Arévalo, Francisco. (1952). Notas sobre el lenguaje de Río de Oro. Boletín del Instituto Caro y Cuervo."
BIB-A-0475,Artículo,"Santa, Eduardo",1952,La Provincia perdida,Hojas de Cultura Popular Colombiana,,13,,,,,,,,,,No verificado externamente,,"Santa, Eduardo. (1952). La Provincia perdida. Hojas de Cultura Popular Colombiana."
BIB-A-0476,Artículo,"Santa, Eduardo",1952,Una Semana Santa en la aldea,Hojas de cultura popular colombiana.,,14,,,,,,,,,,No verificado externamente,,"Santa, Eduardo. (1952). Una Semana Santa en la aldea. Hojas de cultura popular colombiana.."
BIB-A-0477,Artículo,"Schön, Miguel y Jam, Pedro",1952,Los indios de Perijá,Memorias de la Sociedad de Ciencias Naturales,12,33,249-348,,,,,,,,,No verificado externamente,,"Schön, Miguel y Jam, Pedro. (1952). Los indios de Perijá. Memorias de la Sociedad de Ciencias Naturales."
BIB-A-0478,Artículo,"Sekerj, T.",1952,Pintura facial de la mujer Guajira,Archivos Venezolanos de Folclor,,1,157-158,,,,,,,,,No verificado externamente,,"Sekerj, T.. (1952). Pintura facial de la mujer Guajira. Archivos Venezolanos de Folclor."
BIB-A-0479,Artículo,"Vilanesa, José de",1952,Indios Arhuacos de la Sierra Nevada de Santa Marta,Revista del Instituto Etnológico Nacional,5,1,,,,,,,,,,No verificado externamente,,"Vilanesa, José de. (1952). Indios Arhuacos de la Sierra Nevada de Santa Marta. Revista del Instituto Etnológico Nacional."
BIB-A-0480,Artículo,"Wassen, Henry",1952,New Cuna myths,Ethnologiska Studier,,20,85-106,,,,,,,,,No verificado externamente,,"Wassen, Henry. (1952). New Cuna myths. Ethnologiska Studier."
BIB-A-0481,Artículo,"Aguilera, Miguel",1953,Demonología colombiana,Bolívar,,16,69-95,,,,,,,,,No verificado externamente,,"Aguilera, Miguel. (1953). Demonología colombiana. Bolívar."
BIB-A-0482,Artículo,"Aguilera, Miguel",1953,Demonología americana,Bolívar,,21,25-57,,,,,,,,,No verificado externamente,,"Aguilera, Miguel. (1953). Demonología americana. Bolívar."
BIB-A-0483,Artículo,Anónimo,1953,Cantas del Valle de Tenza,Hojas de Cultura Popular Colombiana,,25,,,,,,,,,,No verificado externamente,,Anónimo. (1953). Cantas del Valle de Tenza. Hojas de Cultura Popular Colombiana.
BIB-A-0484,Artículo,"Aranjuez , Lorenzo de",1953,El velorio entre los Guajiros,Venezuela Misionera,15,173,171-174,,,,,,,,,No verificado externamente,,"Aranjuez , Lorenzo de. (1953). El velorio entre los Guajiros. Venezuela Misionera."
BIB-A-0485,Artículo,"Arias, Juan de Dios",1953,El romance en la tradición santandereana,Bolívar,,16,137-165,,,,,,,,,No verificado externamente,,"Arias, Juan de Dios. (1953). El romance en la tradición santandereana. Bolívar."
BIB-A-0486,Artículo,"Bejarano, Jorge",1953,Nuevos conceptos sobre el cocaismo en Colombia,América Indígena,13,1,15-46,,,,,,,,,No verificado externamente,,"Bejarano, Jorge. (1953). Nuevos conceptos sobre el cocaismo en Colombia. América Indígena."
BIB-A-0487,Artículo,"Bernal Villa, Segundo",1953,"La fiesta de San Juan en Calderas, Tierradentro",Revista Colombiana de Folclor,,2,177-221,,,,,,,,,No verificado externamente,,"Bernal Villa, Segundo. (1953). La fiesta de San Juan en Calderas, Tierradentro. Revista Colombiana de Folclor."
BIB-A-0488,Artículo,"Bernal Villa, Segundo",1953,"Aspectos de la cultura Paez. Mitos y cuentos de la parcialidad de Calderas, Tierradentro",Revista Colombiana de Antropología,1,1,281-309,,,,,,,,,No verificado externamente,,"Bernal Villa, Segundo. (1953). Aspectos de la cultura Paez. Mitos y cuentos de la parcialidad de Calderas, Tierradentro. Revista Colombiana de Antropología."
BIB-A-0489,Artículo,"Bernal, Segundo",1953,"La fiesta de San Juan en Calderas, Tierradentro",Revista Colombiana de Folclor,,2,177-221,,,,,,,,,No verificado externamente,,"Bernal, Segundo. (1953). La fiesta de San Juan en Calderas, Tierradentro. Revista Colombiana de Folclor."
BIB-A-0490,Artículo,"Caneva, Rafael",1953,Apuntes sociológicos alrededor de nuestro folclor,Revista Universidad de Antioquia,,114,341-349,,,,,,,,,No verificado externamente,,"Caneva, Rafael. (1953). Apuntes sociológicos alrededor de nuestro folclor. Revista Universidad de Antioquia."
BIB-A-0491,Artículo,"Cartagena, Alberto de",1953,Apuntes sobre el baile en las tribus de la región suroriental de Colombia,Amazonía Colombiana Americanista,5,17 - 19,,,,,,,,,,No verificado externamente,,"Cartagena, Alberto de. (1953). Apuntes sobre el baile en las tribus de la región suroriental de Colombia. Amazonía Colombiana Americanista."
